English,Bengali
BACKSCRATCHING,মুখ শোঁকাশুঁকি
BACKSEAT,কলার
BACKSEAT DRIVER,পেছনের চালক
BACKSEATS,পিছনের আসন
BACKSETTLER,পশ্চাদপসরণকারী
BACKSHEESH,জাহির
BACKSHIFT,পিছনের দিকে স্থানান্তর
BACKSIDE,পিছনের দিক
BACKSIDES,পিছন
BACKSIGHT,পশ্চাদপট
BACKSLAPPED,পিছনের দিকে থাপ্পড় মারা
BACKSLID,নীতিপালনে পশ্চাত্পদ হত্তয়া
BACKSLIDDEN,নীতিপালনে পশ্চাত্পদ হত্তয়া
BACKSLIDE,নীতিপালনে পশ্চাত্পদ হত্তয়া
BACKSLIDED,নীতিপালনে পশ্চাত্পদ হত্তয়া
BACKSLIDER,সংখ্যার ছড়াছড়ি
BACKSLIDERS,উভয়ের মীমাংসা
BACKSLIDES,পশ্চাদপসরণ
BACKSLIDING,পশ্চাদপসরণ
BACKSLIDINGNESS,বিচ্যুতি
BACKSPACE CHARACTER,ব্যাকস্পেস অক্ষর
BACKSPACE KEY,ব্যাকস্পেস কী
BACKSPACED,পিছনের দিকে
BACKSPACING,পিছনের স্থান নির্ধারণ
BACKSPLICED,পিছনে জোড়া লাগানো
BACKSPREAD,পিছনের দিকে ছড়িয়ে থাকা
BACKSTAB,পিঠে ছুরিকাঘাত
BACKSTABBED,পিঠে ছুরিকাঘাত করা
BACKSTABBER,পিঠে ছুরিকাঘাতকারী
BACKSTABBING,পিঠে ছুরিকাঘাত
BACKSTAGE,নেপথ্যে
BACKSTAIR,গুপ্ত ও অসঙ্গত
BACKSTAIRS,পিছনের সিঁড়ি
BACKSTAY,অগ্রাধিকার শেয়ার
BACKSTITCH,পিছনে সেলাই
BACKSTITCHED,পিছনে সেলাই করা
BACKSTITCHES,পিছনের সেলাই
BACKSTITCHING,পিছনে সেলাই করা
BACKSTOP,কেল্লা
BACKSTOPPED,পিছনের দিকে
BACKSTOPS,কেল্লা
BACKSTORY,গল্পের
BACKSTRAP,পিঠে চাবুক
BACKSTRAPPED,পিছনের দিকে আটকানো
BACKSTRETCHES,পিছনের দিকের অংশ
BACKSTRIP,পিছনের অংশ
BACKSTROKE,পিছনের দিকে আঘাত করা
BACKSTROKED,পিছনের দিকে ঝুঁকে পড়া
BACKSTROKER,দলবাজ
BACKSTROKES,চিত্সাঁতার
BACKSWIMMER,পিছনের সাঁতারু
BACKSWORD,কেবল একপাশে ধারত্তযালা তরত্তয়াল
BACKSWORDMAN,তলোয়ারধারী
BACKSWORDMEN,তলোয়ারধারী
BACKSWORDS,কেবল একপাশে ধারত্তযালা তরত্তয়াল
BACKSWORDSMAN,তলোয়ারধারী
BACKTRACK,পিছনের পথ
BACKTRACKED,পিছিয়ে পড়া
BACKTRACKER,পশ্চাদগামী
BACKTRACKING,পিছনে ফিরে যাওয়া
BACKTRACKS,পিছনের পথ
BACKUPS,ব্যাকআপ
BACKWALL,পিছনে প্রাচীর
BACKWARD,পশ্চাদমুখী
BACKWARD AND FORWARD,অনগ্রসর এবং ফরওয়ার্ড
BACKWARD BLESSING,পিছনে আশীর্বাদ
BACKWARDATION,পশ্চাদপদতা
BACKWARDLY,পশ্চাদমুখীভাবে
BACKWARDNESS,পশ্চাত্পদতা
BACKWARDNESSES,অনুন্নতি
BACKWARDS,পিছনের দিকে
BACKWASH,প্রতিক্রিয়া
BACKWASHED,পিছনে ধোয়া
BACKWASHES,প্রতিক্রিয়া
BACKWATER,অচলতা
BACKWATERED,জলাবদ্ধ
BACKWATERS,অচলতা
BACKWAY,পিছনের পথ
BACKWIND,বিপরীতমুখী
BACKWINDED,পিছনের দিকে ঘুরানো
BACKWINDING,পিছনের দিকে ঘুরানো
BACKWOOD,কাঠের কাঠ
BACKWOODS,গ্রামের প্রান্তস্থিত বন
BACKWOODSER,কাঠের শ্রমিক
BACKWOODSINESS,কাঠের অস্থিরতা
BACKWOODSMAN,কাঠের লোক
BACKWOODSMEN,কাঠের লোক
BACKWOODSY,বনের মতো
BACKWRAPS,ব্যাকর্যাপ
BACKY,অস্থির
BACKYARD,বাড়ির পিছনের দিকের উঠোন
BACKYARDER,বাড়ির উঠোনের মালিক
BACKYARDS,বাড়ির পিছনে অথবা উঠোনে
BACLAVA,বাক্লাভা
BACLIN,ব্যাকলিন
BACON,বেকন
BACON AND EGGS,শুষ্ক শূকরমাংস এবং ডিম
BACON RIND,বেকন সর
BACON STRIP,বেকন ফালা
BACON'S,বেকন এর
BACONIAN,বেকনের অনুগামী
BACONIANISM,বেকনিয়ানবাদ
BACONIC,বেকনিক
BACONISM,বেকনিজম
BACONIZE,বেকনাইজ করা
BACONS,বেকন
BACONY,বেকনি
BACOPA,বেকোপা
BACQUET,ব্যাকেট
BACT,ব্যাকট
BACTERAEMIA,ব্যাকটেরিয়েমিয়া
BACTEREMIA,ব্যাকটেরেমিয়া
BACTEREMIC,জীবাণুঘটিত
BACTERIA,ব্যাকটেরিয়া
BACTERIACEAE,ব্যাকটেরিয়া
BACTERIACEOUS,জীবাণুঘটিত
BACTERIAEMIA,ব্যাকটেরিয়াজনিত রোগ
BACTERIAL,ব্যাকটেরিয়াজনিত
BACTERIAL PLAQUE,ব্যাকটেরিয়া প্লেক
BACTERIAL TOXIN,ব্যাকটেরিয়া বিষ
BACTERIALLY,ব্যাকটেরিয়াগতভাবে
BACTERIAN,ব্যাকটেরিয়াজনিত
BACTERIAS,ব্যাকটেরিয়া
BACTERIC,জীবাণুঘটিত
BACTERICHOLIA,ব্যাকটেরিকোলিয়া
BACTERICIDAL,জীবাণুনাশক
BACTERICIDALLY,জীবাণুনাশকভাবে
BACTERICIDE,জীবাণুনাশক
BACTERICIDES,জীবাণুনাশক
BACTERID,জীবাণুঘটিত
BACTERIEMIA,ব্যাকটেরিয়ামিয়া
BACTERIFORM,জীবাণু-আকৃতির
BACTERIN,ব্যাকটেরিন
BACTERINS,ব্যাকটেরিয়া
BACTERIOAGGLUTININ,ব্যাকটেরিওঅ্যাগ্লুটিনিন
BACTERIOCHLOROPHYLL,ব্যাকটেরিওক্লোরোফিল
BACTERIOCIDAL,জীবাণুনাশক
BACTERIODIAGNOSIS,ব্যাকটেরিয়া রোগ নির্ণয়
BACTERIOFLUORESCIN,ব্যাকটেরিওফ্লুরোসিন
BACTERIOGENIC,জীবাণু সৃষ্টিকারী
BACTERIOGENOUS,জীবাণুঘটিত
BACTERIOHEMOLYSIN,ব্যাকটেরিওহেমোলাইসিন
BACTERIOID,জীবাণুঘটিত
BACTERIOIDAL,জীবাণুঘটিত
BACTERIOL,জীবাণুসংক্রান্ত
BACTERIOLOGIC,জীবাণু সংক্রান্ত
BACTERIOLOGICAL,রোগজীবাণুতত্ত্বসম্বন্ধীয়
BACTERIOLOGICAL WARFARE,রোগজীবাণুতত্ত্বসম্বন্ধীয় যুদ্ধবিগ্রহ
BACTERIOLOGICALLY,জীবাণুতত্ত্বগতভাবে
BACTERIOLOGIES,রোগজীবাণুতত্ত্ব
BACTERIOLOGIST,জীবাণুবিদ
BACTERIOLOGY,জীবাণুবিদ্যা
BACTERIOLYTIC,জীবাণুবিকারক
BACTERIOLYZE,ব্যাকটেরিওলাইজ করা
BACTERIOPATHOLOGY,ব্যাকটেরিওপ্যাথলজি
BACTERIOPHAGE,ব্যাক্টেরিওফাজ
BACTERIOPHAGES,ব্যাক্টেরিওফাজ
BACTERIOPHAGIA,ব্যাকটেরিওফ্যাগিয়া
BACTERIOPHAGIC,ব্যাকটেরিওফ্যাজিক
BACTERIOPHAGOUS,জীবাণুঘটিত
BACTERIOPHAGY,ব্যাকটেরিওফ্যাজি
BACTERIOPHOBIA,ব্যাকটেরিওফোবিয়া
BACTERIORHODOPSIN,ব্যাকটেরিওরোডোপসিন
BACTERIOSCOPIC,জীবাণু-সংক্রান্ত
BACTERIOSCOPICAL,জীবাণু-বিশ্লেষণমূলক
BACTERIOSCOPICALLY,ব্যাকটেরিওস্কোপিকভাবে
BACTERIOSCOPY,ব্যাকটেরিওস্কোপি
BACTERIOSOLVENT,জীবাণু দ্রাবক
BACTERIOSTATICALLY,ব্যাকটেরিওস্ট্যাটিকভাবে
BACTERIOTOXIC,জীবাণু-বিষাক্ত
BACTERIOTROPIC,জীবাণু-রোগজনিত
BACTERIOUS,জীবাণুঘটিত
BACTERIRIUM,ব্যাকটেরিয়া
BACTERITIC,জীবাণুঘটিত
BACTERIUM,রোগজীবাণু
BACTERIURIA,ব্যাকটেরিউরিয়া
BACTERIZATION,জীবাণুকরণ
BACTERIZE,জীবাণুমুক্ত করা
BACTERIZED,জীবাণুযুক্ত
BACTERIZING,জীবাণুনাশক
BACTEROID,জীবাণুঘটিত
BACTEROIDAL,জীবাণুঘটিত
BACTEROIDEAE,ব্যাকটেরিওয়েড
BACTEROIDES,ব্যাকটেরয়েড
BACTETIOPHAGE,ব্যাকটিওফেজ
BACTRIAN,ব্যাক্ট্রিয়ান
BACTRIS,ব্যাকট্রিস
BACTRITICONE,ব্যাক্ট্রিটিকোন
BACTRITOID,ব্যাকট্রিটয়েড
BACULA,বাকুলা
BACULE,বেকুল
BACULERE,ব্যাকুলেরে
BACULI,বাকুলি
BACULIFEROUS,ব্যাকুলিফেরাস
BACULIFORM,ব্যাকুলিফর্ম
BACULINE,চাবুকের দ্বারা বা প্রহার দ্বারা কৃত প্রদত্ত
BACULITE,ব্যাকুলাইট
BACULITIC,ব্যাকুলিক
BACULITICONE,ব্যাকুলিটিকোন
BACULOID,ব্যাকুলয়েড
BACULUM,স্টাফ
BACULUMS,ব্যাকুলাম
BACULUS,ব্যাকুলাস
BACURY,লোভী
BAD,খারাপ
BAD ADVICE,কুতন্ত্র
BAD ATTEMPT,কুচেষ্টা
BAD BLOOD,খারাপ রক্ত
BAD BREATH,বাজে প্রসাস
BAD CHARACTER,অপযশ
BAD CHECK,খারাপ চেক
BAD CHEQUE,খারাপ চেক
BAD COIN,জালমুদ্রা
BAD COUNSEL,কুতন্ত্র
BAD DEBT,খারাপ ঋণ
BAD EGG,খারাপ ডিম
BAD FAIRY,খারাপ পরী
BAD FAITH,খারাপ বিশ্বাস
BAD FEELING,তিক্ততা
BAD FIT,অমিল
BAD FORM,খারাপ আচার
BAD GOVERNMENT,অপশাসন
BAD HABIT,খারাপ অভ্যাস
BAD INFLUENCE,দুষ্ট প্রভাব
BAD LANGUAGE,গালাগালি
BAD LUCK,কপাল খারাপ
BAD MAN,কুজন
BAD MANNERS,অসৌজন্য
BAD MEASURE,কুতন্ত্র
BAD MOUTHING,কলঙ্কিত করা
BAD NAME,অপযশ
BAD PERSON,খারাপ ব্যক্তি
BAD POLICY,খারাপ নীতি
BAD PRACTICE,কুক্রিয়া
BAD QUALITY,খারাপ গুন
BAD REPUTATION,দুর্নাম
BAD SHOT,ত্রুটিপূর্ণ আঘাত
BAD SIGN,দুর্নিমিত্ত
BAD SMELLING,দুর্গন্ধতা
BAD TEMPER,বাজে মেজাজ
BAD WEATHER,অনুপভোগ্য জলবায়ু
BAD-BEARING,খারাপ জন্মদানে
BAD-HEADED,খারাপ কেশ
BAD-HEARTED,খারাপ উদার
BAD-LOOKING,খারাপ দেখতে
BAD-MANNERED,খারাপ অভ্যাস
BAD-MINDED,খারাপ মনের
BAD-ORDER FREIGHT,খারাপ আদেশ মালবাহী
BAD-TEMPERED,রগচটা
BADARIAN,বদরিয়ান
BADARRAH,বদরাহ
BADASS,বদমাশ
BADASSED,বদমাশ
BADASSES,বদমাশ
BADAUD,বাদাউদ
BADAWI,বাদাউই
BADAXE,বাদাখোসা
BADDER,খারাপ
BADDEST,সবচেয়ে খারাপ
BADDIE,বদমাশ
BADDIES,বদমাশ
BADDISHLY,খারাপভাবে
BADDISHNESS,বদমাশতা
BADDY,বদমাশ
BADE,নিবেদন করা
BADGE,ব্যাজ
BADGED,এর সাথে ব্যাজ
BADGELESS,ব্যাজহীন
BADGEMAN,ব্যাজম্যান
BADGEMEN,ব্যাজম্যান
BADGER,ব্যাজার
BADGER DOG,বেগার কুকুর
BADGER SKUNK,ব্যাজ স্কন্ড
BADGER-LEGGED,ব্যাজার পদ
BADGERED,জ্বালাতন করা
BADGERER,ব্যাজার
BADGERING,জ্বালাতন করা
BADGERINGLY,বিষণ্ণভাবে
BADGERLIKE,ব্যাজারের মতো
BADGERS,মসৃণ
BADGERWEED,ব্যাজারউইড
BADGES,ব্যাজ
BADGING,ব্যাজ
BADGIR,বদমাশ
BADHAN,বাধন
BADIAGA,বাদিয়াগা
BADIAN,বাদিয়ান
BADINAGE,হাসিঠাট্টা
BADINAGED,বদনাম করা
BADINAGING,বদনাম করা
BADIOUS,দুষ্টু
BADJU,বাদজু
BADLANDS,খারাপ ভূমি
BADLANDS NATIONAL PARK,ন্যাশনাল পার্ক অনুর্বর জমি
BADLY,খারাপভাবে
BADLY OFF,খারাপভাবে বন্ধ
BADMAN,খারাপ মানুষ
BADMASH,"দুর্বৃত্ত, বদমাশ লোক"
BADMEN,খারাপ মানুষেরা
BADMINTON,ব্যাড্মিন্টন-খেলা
BADMINTON RACKET,ব্যাট
BADMOUTH,কলঙ্কিত করা
BADMOUTHED,খারাপ মুখের লোক
BADMOUTHING,খারাপ কথা বলা
BADMOUTHS,কলঙ্কিত করা
BADNESS,অসাধুতা
BADNESSES,খারাপ কাজ
BADS,খারাপ
BADUHENNA,বাদুহেন্না
BAE,বে
BAEBERRY BARK,বায়বেরি ছাল
BAERIA,বেইরিয়া
BAETULI,বেতুলি
BAFFED,হতবাক
BAFFING,বিভ্রান্তিকর
BAFFLE,কিংকর্তব্যবিমূঢ় করা
BAFFLE BOARD,কিংকর্তব্যবিমূঢ় বোর্ড
BAFFLED,হতবুদ্ধি
BAFFLEMENT,বিহ্বলাবস্থা
BAFFLEMENTS,বিভ্রান্তিকর বিষয়গুলি
BAFFLER,পার্টিশন
BAFFLERS,প্রাচীর
BAFFLES,ধাঁধাঁর মতো
BAFFLING,বিভ্রান্তিকর
BAFFLINGLY,বিস্ময়করভাবে
BAFFLINGNESS,বিভ্রান্তি
BAFTAH,বাফতাহ
BAG,থলে
BAG OF BONES,রোগা মানুষ
BAG OF TRICKS,ঠাট ব্যাগ
BAG-BEARING,ব্যাগ জন্মদানে
BAG-FILLING,ব্যাগ ভর্তি
BAGASS,মালপত্র
BAGASSE,আখের ছিবড়া
BAGASSES,ব্যাগেস
BAGATAWAY,ব্যাগাটাওয়ে
BAGATELLE,তুচ্ছ
BAGATELLES,ক্রীড়নক
BAGATTINO,ব্যাগাটিনো
BAGDAD,বাগদাদ
BAGFUL,এক থলিতে যত ধরে তত পরিমাণ
BAGFULS,থলি ভর্তি
BAGGAGE,লটবহর
BAGGAGE CAR,লাগেজ গাড়ী
BAGGAGE CLAIM,লাগেজ দাবি
BAGGAGE CLERK,লাগেজ ক্লার্ক
BAGGAGE PORTER,লাগেজ কোর্ট
BAGGAGEMAN,লাগেজওয়ালা
BAGGAGEMASTER,লাগেজমাস্টার
BAGGAGER,লাগেজ বহনকারী
BAGGAGES,লটবহর
BAGGALA,বাগগালা
BAGGARA,বাগারা
BAGGE,ব্যাগ
BAGGED,নেন
BAGGERS,ব্যাগ
BAGGIE,ব্যাগি
BAGGIER,মালপত্রের ভার বহনকারী
BAGGIES,ব্যাগ
BAGGIEST,বেঢপ
BAGGILY,অলসভাবে
BAGGINESS,অতিরিক্ত পরিশ্রম
BAGGING,থলির কাপড়
BAGGINGS,থলির কাপড়
BAGGIT,ব্যাগিট
BAGGY,থলেঢালা
BAGGYWRINKLE,ঝুলন্ত বলিরেখা
BAGH,বাগ
BAGHDAD,বাগদাদ
BAGHOUSE,ব্যাগহাউস
BAGHOUSES,ব্যাগহাউস
BAGIE,ব্যাগি
BAGLEAVES,থলির পাতা
BAGLIKE,থলের মতো
BAGMAKING,ব্যাগ তৈরি
BAGMAN,ভ্রাম্যমাণ দালাল
BAGMEN,ভ্রাম্যমাণ দালাল
BAGNETTE,ব্যাগনেট
BAGNUT,বাদাম
BAGPIPE,শানাই-এর মত বাদ্যযন্ত্র-বিশেষ
BAGPIPES,শানাই-এর মত বাদ্যযন্ত্র-বিশেষ
BAGS,ট্রাউজার্স
BAGS OF,প্রচুর পরিমাণ
BAGSFUL,থলিভর্তি
BAGUET,ব্যাগুয়েট
BAGUETTE,ব্যাগুয়েট
BAGUETTES,ডেলা
BAGWIGGED,ঝাঁকুনি দেওয়া
BAGWOMAN,ব্যাগওয়ালা
BAGWOMEN,ব্যাগ মহিলা
BAH,বাঃ
BAHA'I,বাহাই
BAHADA,বাহাদা
BAHADUR,বাহাদুর
BAHADURS,বাহাদুররা
BAHAI,বাহাই
BAHAISM,বাহাই ধর্ম
BAHAM,বাহাম
BAHAMA,বাহামা
BAHAMA ISLANDS,যন্তরমন দ্বীপপুঞ্জ
BAHAMAS,বাহামা
BAHAMIAN,বাহামিয়ান
BAHAMIANS,বাহামিয়ানরা
BAHAN,বাহন
BAHAR,বাহার
BAHASA,বাহাসা
BAHASA INDONESIA,বাহাসা ইন্দোনেশিয়া
BAHASA MALAYSIA,বাহাসা মালয়েশিয়া
BAHASA MELAYU,বাহাসা মালে
BAHAY,বাহায়
BAHERA,বাহেরা
BAHIA GRASS,বাহিয়া ঘাস
BAHIA PIASSAVA,বাহিয়া পাইসভা
BAHIAITE,বাহিয়াতে
BAHIMA,বাহিমা
BAHISTI,বাহিস্তি
BAHMANI,বাহমানি
BAHO,বহো তুমি
BAHOE,বাহো
BAHOO,বাহু
BAHRAIN ISLAND,বাহরাইন দ্বীপ
BAHRAINI,বাহরাইনের
BAHT,বাত
BAHTS,বাহাত
BAHUMA,বহুমা
BAHUR,বাহুর
BAHUT,বাহুত
BAHUTS,বাহুতস
BAHUTU,বহুতু
BAHUVRIHI,বহুভ্রিহি
BAHUVRIHIS,বহুভ্রিহিস
BAIANISM,বায়ানবাদ
BAIDYA,বৈদ্য
BAIGN,ঝাঁপ দাও
BAIKAL,বৈকাল হ্রদ
BAIKALITE,বৈকালীতে
BAIL,জামিন
BAIL BOND,জামিননামা
BAILABLE,জামিনযোগ্য
BAILAGE,জামিন
BAILED,জামিনপ্রাপ্ত
BAILEE,যার নিকট শর্তাধীনে মাল গচ্ছিত রাখা হয়
BAILEES,জামিনদার
BAILER,ঝারি
BAILERS,ঝাঁঝরি
BAILEY,দুর্গভবনের বহি: প্রাচীর
BAILEYS,দুর্গভবনের বহি:প্রাচীর
BAILIARIES,জামিনদার
BAILIARY,জামিনদার
BAILIE,বেলি
BAILIERIES,বেইলিয়ারি
BAILIESHIP,জামিন
BAILIFF,সাধ্যপাল
BAILIFFS,বেলিফ
BAILIFFSHIP,বেলিফ পদ
BAILING,জামিন
BAILIWICK,বেলিফের অধিকারভুক্ত এলাকা
BAILIWICKS,বেলিফের অধিকারভুক্ত এলাকা
BAILLIAGE,জামিনদার
BAILMENT,গচ্ছিতপ্রদান
BAILMENTS,জামিনপত্র
BAILOR,যে ব্যক্তি শর্তাধীনে মাল গচ্ছিত দেয়
BAILORS,যে ব্যক্তি শর্তাধীনে মাল গচ্ছিত দেয়
BAILOUT,প্যারাশুটের সাহায্যে এরোপ্লেন হইতে নামা
BAILOUTS,জামিন
BAILPIECE,জামিনপত্র
BAILS,জামিন
BAILSMAN,জামিনদার
BAILSMEN,জামিনদার
BAIOC,বায়োক
BAIOCCHI,বায়োচ্চি
BAIOCCO,বায়োকো
BAIRAGI,বৈরাগী
BAIRN,বাচ্চা
BAIRNISHNESS,বিষন্নতা
BAIRNLIER,বেয়ারনিয়ার
BAIRNLINESS,বেহায়াপনা
BAIRNS,শিশু
BAISAKH,বৈশাখ
BAIT,টোপ
BAITED,উত্ত্যক্ত করা
BAITER,প্রতারক
BAITERS,প্রতারক
BAITING,উত্ত্যক্ত করা
BAITS,টোপ
BAIZE,বনাত
BAIZES,বনাত
BAJA CALIFORNIA,বাজা ক্যালিফোর্নিয়া
BAJADA,বাজাদা
BAJARDO,বাজারদো
BAJOCCO,বাজোকো
BAKE,সেকা
BAKE SHOPS,গা গরম করে দোকান
BAKED,পক্ব
BAKED BEANS,শিম সেদ্ধ
BAKED GOODS,বেকড পণ্য
BAKED MEATS,বেকড খাবারের
BAKED POTATO,সেদ্ধ আলু
BAKEHOUSE,পাঁউরুটিখানা
BAKEHOUSES,পাঁউরুটিখানা
BAKELITE,ব্যাকেলাইট
BAKEMEAT,মাংস বেক করা
BAKER,রূটিত্তয়ালা
BAKER'S DOZEN,তেরখানি
BAKER'S ECZEMA,বেকার এর কাউর
BAKER'S YEAST,বেকার এর চেঁচানো
BAKER-KNEED,রুটিওয়ালা হাঁটুযুক্ত
BAKER-LEG,রুটিওয়ালা পা
BAKER-LEGGED,রুটিওয়ালা পদ
BAKERESS,বেকারি
BAKERIES,বেকারি
BAKERLESS,বেকারবিহীন
BAKERLIKE,বেকারের মতো
BAKERS,বেকারি
BAKERY,বেকারি
BAKES,সেকা
BAKIE,বেকি
BAKING,পোড়ানো
BAKING HOT,প্রচণ্ড গরম
BAKING POWDER,বেকিং পাউডার
BAKINGS,ভাঁটি
BAKONGO,বাকোঙ্গো
BAKSHEESH,বখশিশ
BAKSHEESHES,পুরস্কার
BAKSHISH,বখশিশ
BAKSHISHED,বক্ষিশেদ
BAKSHISHES,পুরস্কার
BAKUTU,বাকুতু
BALAAM,ব্যালাম্
BALACLAVA,বাঁদুরে টুপি
BALACLAVA HELMET,বাঁদুরে টুপি শিরস্ত্রাণ
BALADA,বালাদা
BALAENICIPITES,অনুসরণ
BALAENOID,ব্যালেনয়েড
BALALAIKA,রাশিয়ার এবং পূর্ব ইউরোপে জনপ্রিয় গিটারজাতীয় এক ধরনের বাজনা
BALANCE,ভারসাম্য
BALANCE BEAM,তুলাদন্ড
BALANCE OF INTERNATIONAL PAYMENTS,আন্তর্জাতিক পেমেন্ট ভারসাম্য
BALANCE OF PAYMENTS,প্রদানের ক্ষেত্রে ভারসাম্য
BALANCE OF POWER,শক্তির ভারসাম্য
BALANCE OF TRADE,আমদানি ও রপ্তানির মোট মূল্যের পার্থক্য
BALANCE OUT,সামঞ্জস্য বজায় রাখা
BALANCE SHEET,ভারসাম্য
BALANCE WHEEL,ভারসাম্য চাকা
BALANCE WISE,জ্ঞানী মধ্যে সামঞ্জস্য বজায় রাখা
BALANCEABLE,ভারসাম্যপূর্ণ
BALANCED,সুষম
BALANCED BUDGET,সুষম বাজেট
BALANCED DIET,সুষম খাদ্য
BALANCEDNESS,ভারসাম্য
BALANCEMENT,ভারসাম্য
BALANCES,ভারসাম্যকে
BALANCEWISE,ভারসাম্যপূর্ণভাবে
BALANCING,ভারসাম্য
BALANCING ACT,সমীকরণ আইন
BALANCING CONDENSER,সমন্বয়কারী বালুকণা
BALANCING FLAP,ভারসাম্য ফাঁকা
BALANCINGS,মিট
BALANGAY,বালাঙ্গে
BALANOGLOSSIDA,ব্যালানোগ্লোসিডা
BALANOGLOSSUS,ব্যালানোগ্লোসাস
BALANOID,ব্যালনয়েড
BALANOPREPUTIAL,অনুসরণ
BALANORRHAGIA,ব্যালানোরেজিয়া
BALAT,বালাত
BALBOAS,বালবোয়া
BALCONE,বারান্দা
BALCONETTE,ব্যালকনেট
BALCONIED,ঝুল-বারান্দাত্তয়ালা
BALCONIES,বারান্দা
BALCONY,বারান্দা
BALD,টাক
BALD HEAD,টাক মাথা
BALD-FACED,পালকহীন মুখবিশিষ্ট
BALD-FACED HORNET,টাক মুখবিশিষ্ট ভ্রমর
BALD-HEADED,উচ্ছৃঙ্খলভাবে
BALD-PATE,কেশহীন
BALD-PATED,টেকো
BALDACCHINI,বাল্ডাচিনি
BALDACCHINO,বাল্ডাচিনো
BALDACHIN,চন্দ্রাতপ
BALDACHINED,টাক পড়া
BALDACHINI,বালদাচিনি
BALDCROWN,টাকমুকুট
BALDED,টাক পড়া
BALDEN,টাক পড়া
BALDER,টাক পড়া
BALDERDASH,আবোল-তাবোল
BALDEST,পালকহীন
BALDFACED,টাক মুখ
BALDHEAD,টাক মাথা
BALDHEADED,টাক মাথাওয়ালা
BALDHEADS,টাক পড়া
BALDING,টাক
BALDISH,টাক
BALDLING,টাক পড়া
BALDLY,নেড়াভাবে
BALDMONEYS,টাক টাকা
BALDNESS,টাক
BALDNESSES,টাক
BALDPATE,কেশহীন
BALDPATED,টেকো
BALDPATEDNESS,টাক পড়া
BALDPATES,টাক পড়া
BALDRIC,"কাঁধ থেকে আড়াআড়িভাবে লাগানো বেল্ট বা বন্ধনী যাতে তরবারি, রণশিঙা ইত্যাদি আটকানো থাকে"
BALDRICKED,টাক পড়া
BALDRICWISE,অনুসরণ
BALDS,টাক
BALDY,টাক
BALE,অনিষ্ট
BALE BAND,গাঢ় ব্যান্ড
BALE BUCKLE,বালা ফিতে
BALE OUT,গাঁট আউট
BALEARE,বালিয়ারে
BALEARIAN,বেলেরিয়ান
BALEARIC ISLANDS,কাতালোনিয়া দেশ
BALEARICA,ব্যালেরিকা
BALED,গামছাযুক্ত
BALEEN,কোন কোন তিমির টাকরার হাড়
BALEEN WHALE,কোন তিমির টাকরার হাড় তিমি
BALEENS,কোন কোন তিমির টাকরার হাড়
BALEFIRE,বহ্নু্যত্সব
BALEFIRES,মুক্তস্থানে প্রবল অগ্নিকাগু
BALEFUL,বিষাদপূর্ণ
BALEFULLY,সাংঘাতিকরূপে
BALEFULNESS,বিষণ্ণতা
BALELESS,খাঁজহীন
BALES,বেল
BALETE,বালেতে
BALIAN,বালিয়ান
BALILLA,বালিলা
BALINESE,বালিনীয়
BALING,গাঁইট
BALING WIRE,গাঁইট তারের
BALINGER,ব্যালিঙ্গার
BALINGHASAY,বালিংহাসে
BALISTARII,বালিস্তারি
BALIZE,বালিজ করা
BALK,অনীহা প্রকাশ করা
BALKAN,বলকান
BALKAN COUNTRY,বলকান দেশ
BALKAN MOUNTAIN RANGE,বলকান পর্বতমালা
BALKAN MOUNTAINS,বলকান পর্বতমালা
BALKAN PENINSULA,বলকান উপদ্বীপের
BALKANIZATION,বলকানীকরণ
BALKANIZE,কোন অঞ্চলকে ছোট ছোট শত্রুভাবাপন্ন রাষ্ট্রে বিভক্ত করা
BALKED,বাধা দেত্তয়া
BALKIER,অবাধ্য
BALKIEST,অবাধ্য
BALKILY,অস্থিরভাবে
BALKINESS,অলসতা
BALKING,দ্বিধাগ্রস্ত
BALKINGLY,সংকোচপূর্ণভাবে
BALKS,অস্বস্তিকর
BALKY,অস্থির
BALL,বল
BALL AND SOCKET JOINT,কোটরসন্ধি
BALL BEARING,বল ভারবহন
BALL CARRIER,বল বাহক
BALL CARTRIDGE,বল কার্তুজ
BALL COCK,বল কুক্কুট
BALL DRESS,বল পোষাক
BALL FIELD,বল ক্ষেত্রের
BALL GAME,কার্যক্ষেত্র
BALL GAMES,বল খেলা
BALL HAWK,বল বাজপাখি
BALL LIGHTNING,বল বাজ
BALL NIGHTSHADE,বল লতা
BALL OF FIRE,আগুনের বল
BALL OVER,ওভার বল
BALL UP,বল আপ
BALL-AND-CLAW FOOT,বল এবং কুঁড়ি পা
BALL-HOOTER,বল বিদ্রূপাত্মক চিত্কার
BALL-PLANTING,বল লাগানোর
BALL-SHAPED,বল আকৃতির
BALLAD,গাথা
BALLAD HORN,বেল্লা শৃঙ্গ
BALLAD MAKER,বলদ নির্মাতা
BALLAD MEASURE,বাল্য পরিমাপ
BALLAD MONGER,গাথা রটনাকারী
BALLAD OPERA,বল্লড অপেরা
BALLAD RECITER,বেল্ল্যা
BALLAD SINGING,বাউল গান গাওয়া
BALLADE,বীর গাথা
BALLADEER,কবিতা বা ছড়ার লেখক
BALLADEROYAL,গীতিনাট্য
BALLADES,বীর গাথা
BALLADICAL,গীতিনাট্যমূলক
BALLADISE,গীতিনাট্য রচনা করা
